name,category,desirability,disagreement,n_raters
Giant Bat,blue_soul,1.0,0.0,4
Hippogryph,ability_soul,1.0,0.0,4
Claimh Solais,weapon,0.9688,0.0541,4
Dracula's Tunic,armor,0.9688,0.0541,4
Balmung,weapon,0.9271,0.0744,4
Black Panther,blue_soul,0.9271,0.0744,4
Death's Robe,armor,0.9271,0.0744,4
Eversing,armor,0.9271,0.0744,4
Malphas,ability_soul,0.9167,0.0833,4
Skula,yellow_soul,0.9167,0.0833,4
Undine,yellow_soul,0.875,0.0722,4
Laevatain,weapon,0.8542,0.1488,4
Satan's Ring,accessory,0.8438,0.018,4
Hrunting,weapon,0.7708,0.0691,4
Mystletain,weapon,0.7708,0.0691,4
Ronginus' Spear,weapon,0.7708,0.0691,4
Death's Sickle,weapon,0.7188,0.1484,4
Flying Armor,blue_soul,0.7083,0.2165,4
Samurai Armor,armor,0.6875,0.0361,4
Ninja Suit,armor,0.6562,0.018,4
Gungner,weapon,0.6458,0.0908,4
Armor of Fire,armor,0.6042,0.1083,4
Armor of Water,armor,0.6042,0.1083,4
Olrox's Suit,armor,0.5938,0.2608,4
Galamoth,ability_soul,0.5833,0.3436,4
Milican's Sword,weapon,0.5833,0.1863,4
Rahab's Sword,weapon,0.5625,0.16,4
Grave Keeper,ability_soul,0.5417,0.3608,4
Dainslef,weapon,0.5208,0.1898,4
Pitch Black Suit,armor,0.5208,0.1898,4
Kaladbolg,weapon,0.5104,0.2212,4
Skeleton Blaze,ability_soul,0.5,0.4249,4
Vjaya,weapon,0.4792,0.2384,4
Rune Ring,accessory,0.4271,0.2922,4
Silver Gun,weapon,0.4271,0.2674,4
Tear of Blood,accessory,0.4271,0.3151,4
Joyeuse,weapon,0.4167,0.0833,4
Mana Prism,consumable,0.3854,0.0683,4
Melon,consumable,0.3854,0.0683,4
Super Potion,consumable,0.3854,0.0683,4
Burtgang,weapon,0.3542,0.2384,4
Elfin Robe,armor,0.3542,0.3554,4
Black Cloak,accessory,0.3438,0.3684,4
Rare Ring,accessory,0.3438,0.3067,4
Broadsword,weapon,0.3229,0.1872,4
Copper Plate,armor,0.3229,0.1872,4
Lance,weapon,0.3229,0.1872,4
Handgun,weapon,0.3125,0.2526,4
Tallhammer,weapon,0.3125,0.2787,4
High Mind Up,consumable,0.3021,0.1424,4
High Potion,consumable,0.3021,0.1424,4
Bastard Sword,weapon,0.2812,0.1985,4
Rapier,weapon,0.2812,0.1985,4
Osafune,weapon,0.2708,0.3083,4
Yasutsuna,weapon,0.2708,0.3083,4
Tasty Meat,consumable,0.2604,0.1918,4
Gold Ring,accessory,0.25,0.1863,4
Hammer,weapon,0.2396,0.2608,4
Silk Robe,armor,0.2396,0.2608,4
Whip Sword,weapon,0.2396,0.2608,4
Pudding,consumable,0.2292,0.1804,4
Kaiser Knuckle,weapon,0.2083,0.2165,4
Sherman Ring,accessory,0.2083,0.1816,4
Cape,accessory,0.1979,0.2558,4
Cutall,weapon,0.1979,0.2558,4
Heart Pendant,accessory,0.1979,0.2558,4
Leather Plate,armor,0.1979,0.2558,4
Scarf,accessory,0.1979,0.2558,4
Short Sword,weapon,0.1979,0.2558,4
Cestus,weapon,0.1667,0.2041,4
Lucky Charm,accessory,0.1562,0.2706,4
Pendant,accessory,0.1562,0.2706,4
Anti-Venom,consumable,0.1146,0.1362,4
Mind Up,consumable,0.1146,0.1362,4
Potion,consumable,0.1146,0.1362,4
Uncurse Potion,consumable,0.1146,0.1362,4
1000 Gold,money,0.0833,0.0833,4
2000 Gold,money,0.0833,0.0833,4
500 Gold,money,0.0417,0.0722,4
Ancient Book 1,consumable,0.0417,0.0722,4
Ancient Book 2,consumable,0.0417,0.0722,4
Ancient Book 3,consumable,0.0417,0.0722,4
100 Gold,money,0.0,0.0,4
Bamboo Sword,weapon,0.0,0.0,4
CASTLE MAP 1,consumable,0.0,0.0,4
CASTLE MAP 3,consumable,0.0,0.0,4
