item_number,item_category,id,name,breaks_ceilings,breaks_floors
0,consumable,0,Potion,FALSE,FALSE
1,consumable,1,High Potion,FALSE,FALSE
2,consumable,2,Super Potion,FALSE,FALSE
3,consumable,3,Meat Strip,FALSE,FALSE
4,consumable,4,Tasty Meat,FALSE,FALSE
5,consumable,5,Mind Up,FALSE,FALSE
6,consumable,6,High Mind Up,FALSE,FALSE
7,consumable,7,Mana Prism,FALSE,FALSE
8,consumable,8,Anti-Venom,FALSE,FALSE
9,consumable,9,Uncurse Potion,FALSE,FALSE
10,consumable,10,Potato Pancake,FALSE,FALSE
11,consumable,11,Beef Curry,FALSE,FALSE
12,consumable,12,Ramen,FALSE,FALSE
13,consumable,13,Cream Soda,FALSE,FALSE
14,consumable,14,Cream Puff,FALSE,FALSE
15,consumable,15,Milk,FALSE,FALSE
16,consumable,16,Coffee,FALSE,FALSE
17,consumable,17,Tea,FALSE,FALSE
18,consumable,18,Pudding,FALSE,FALSE
19,consumable,19,Strawberry,FALSE,FALSE
20,consumable,20,Melon,FALSE,FALSE
21,consumable,21,Grapes,FALSE,FALSE
22,consumable,22,Persimmon,FALSE,FALSE
23,consumable,23,Rotten Meat,FALSE,FALSE
24,consumable,24,Spoiled Milk,FALSE,FALSE
25,consumable,25,Skull Key,FALSE,FALSE
26,consumable,26,Ancient Book 1,FALSE,FALSE
27,consumable,27,Ancient Book 2,FALSE,FALSE
28,consumable,28,Ancient Book 3,FALSE,FALSE
29,consumable,29,CASTLE MAP 1,FALSE,FALSE
30,consumable,30,CASTLE MAP 2,FALSE,FALSE
31,consumable,31,CASTLE MAP 3,FALSE,FALSE
32,weapon,0,Knife,FALSE,FALSE
33,weapon,1,Baselard,FALSE,FALSE
34,weapon,2,Combat Knife,FALSE,FALSE
35,weapon,3,Short Sword,FALSE,FALSE
36,weapon,4,Bastard Sword,FALSE,FALSE
37,weapon,5,Whip Sword,FALSE,FALSE
38,weapon,6,Gladius,FALSE,FALSE
39,weapon,7,Gram,FALSE,FALSE
40,weapon,8,Milican's Sword,TRUE,FALSE
41,weapon,9,Hrunting,TRUE,FALSE
42,weapon,10,Mystletain,FALSE,FALSE
43,weapon,11,Rahab's Sword,FALSE,FALSE
44,weapon,12,Durandal,TRUE,FALSE
45,weapon,13,Laevatain,TRUE,FALSE
46,weapon,14,Burtgang,TRUE,FALSE
47,weapon,15,Kaladbolg,TRUE,FALSE
48,weapon,16,Vjaya,FALSE,FALSE
49,weapon,17,Balmung,TRUE,TRUE
50,weapon,18,Broadsword,TRUE,TRUE
51,weapon,19,Scimitar,TRUE,TRUE
52,weapon,20,Claymore,TRUE,TRUE
53,weapon,21,Great Sword,TRUE,TRUE
54,weapon,22,Joyeuse,TRUE,TRUE
55,weapon,23,Dainslef,TRUE,TRUE
56,weapon,24,Ascalon,TRUE,TRUE
57,weapon,25,Claimh Solais,TRUE,TRUE
58,weapon,26,Final Sword,TRUE,TRUE
59,weapon,27,Bamboo Sword,TRUE,TRUE
60,weapon,28,Katana,TRUE,TRUE
61,weapon,29,Osafune,TRUE,TRUE
62,weapon,30,Onikiri,TRUE,TRUE
63,weapon,31,Kunitsuna,TRUE,TRUE
64,weapon,32,Yasutsuna,TRUE,TRUE
65,weapon,33,Muramasa,TRUE,TRUE
66,weapon,34,Hammer,TRUE,TRUE
67,weapon,35,Warhammer,TRUE,TRUE
68,weapon,36,Excalibur,TRUE,TRUE
69,weapon,37,Tallhammer,TRUE,TRUE
70,weapon,38,Battle Axe,TRUE,TRUE
71,weapon,39,Death's Sickle,TRUE,TRUE
72,weapon,40,Rapier,FALSE,FALSE
73,weapon,41,Estoc,FALSE,FALSE
74,weapon,42,Cutall,FALSE,FALSE
75,weapon,43,Spear,FALSE,TRUE
76,weapon,44,Trident,FALSE,TRUE
77,weapon,45,Lance,FALSE,TRUE
78,weapon,46,Partizan,FALSE,TRUE
79,weapon,47,Gabolg,FALSE,TRUE
80,weapon,48,Gungner,FALSE,FALSE
81,weapon,49,Ronginus' Spear,FALSE,TRUE
82,weapon,50,Cestus,FALSE,FALSE
83,weapon,51,Kaiser Knuckle,TRUE,TRUE
84,weapon,52,Mach Punch,FALSE,FALSE
85,weapon,53,Whip Knuckle,FALSE,FALSE
86,weapon,54,Poison Fist,FALSE,FALSE
87,weapon,55,Handgun,FALSE,FALSE
88,weapon,56,Silver Gun,FALSE,FALSE
89,weapon,57,Positron Rifle,FALSE,FALSE
90,weapon,58,Valmanway,FALSE,FALSE
91,armor,0,Casual Clothes,FALSE,FALSE
92,armor,1,Cloth Tunic,FALSE,FALSE
93,armor,2,Gym Clothes,FALSE,FALSE
94,armor,3,War Fatigues,FALSE,FALSE
95,armor,4,Ninja Suit,FALSE,FALSE
96,armor,5,Soldier Uniform,FALSE,FALSE
97,armor,6,Pitch Black Suit,FALSE,FALSE
98,armor,7,Olrox's Suit,FALSE,FALSE
99,armor,8,Dracula's Tunic,FALSE,FALSE
100,armor,9,Leather Plate,FALSE,FALSE
101,armor,10,Copper Plate,FALSE,FALSE
102,armor,11,Iron Plate,FALSE,FALSE
103,armor,12,Steel Plate,FALSE,FALSE
